"paperID"	"author1"	"year"	"title"	"journal"	"liao"	"vila"	"castroDiez"	"sourceOverlap"	"nObs"	"ammonif"	"nh"	"nitrif"	"nminz"	"no"	"soilcn"	"soiln"	"som"	"toti"
"95"	327	"Yelenik"	2004	"Ecosystem level impacts of invasive Acacia saligna in the South African fynbos"	"RESTORATION ECOLOGY"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	1	0	1	1	0	0	1	1	0
"96"	353	"Rice"	2004	"\"Impacts of the exotic, nitrogen-fixing black locust (Robinia pseudoacacia) on nitrogen-cycling in a pine-oak ecosystem\""	"PLANT ECOLOGY"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	1	1	1	0	1	1	0
"97"	373	"Peltzer"	2009	"Punching above their weight: low-biomass non-native plant species alter soil properties during primary succession"	"OIKOS"	NA	NA	"Yes"	"PaperInPreviousMeta"	4	0	4	0	0	4	0	4	0	0
"98"	385	"Yelenik"	2007	"Functional group identity does not predict invader impacts: differential effects of nitrogen-fixing exotic plants on ecosystem function"	"BIOLOGICAL INVASIONS"	NA	"Yes"	NA	"PaperInPreviousMeta"	2	0	2	0	0	2	0	2	2	0
"99"	390	"Yu"	2005	"A new mechanism of invader success: Exotic plant inhibits natural vegetation restoration by changing soil microbe community"	"CHINESE SCIENCE BULLETIN"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	1	0	0
"100"	401	"Rodgers"	2008	"The invasive species Alliaria petiolata (garlic mustard) increases soil nutrient availability in northern hardwood-conifer forests"	"OECOLOGIA"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	5	0	0	0	0	0	0	0	0	5
"101"	413	"Hagos"	2005	"Soil enrichment by Acacia mellifera subsp detinens on nutrient poor sandy soil in a semi-arid southern African savanna"	"JOURNAL OF ARID ENVIRONMENTS"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	0	1	1	0
"102"	434	"Haubensak"	2004	"Effects of nitrogen-fixing shrubs in Washington and coastal California"	"WEED TECHNOLOGY"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	0	0	0	0	1	0	0
"103"	435	"Sanon"	2009	"\"Changes in soil diversity and global activities following invasions of the exotic invasive plant, Amaranthus viridis L., decrease the growth of native sahelian Acacia species\""	"FEMS MICROBIOLOGY ECOLOGY"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	0	1	0	0
"104"	437	"Fisher"	2006	"Enhanced soil and leaf nutrient status of a Western Australian Banksia woodland community invaded by Ehrharta calycina and Pelargonium capitatum"	"PLANT AND SOIL"	NA	"Yes"	NA	"PaperInPreviousMeta"	2	0	0	0	0	0	0	2	0	0
